 left_edges,centers,count,norm_count
 0.0000000, 0.0250000,    193902, 0.9699950
 0.0500000, 0.0750000,    186076, 0.9308454
 0.1000000, 0.1250000,    176615, 0.8835168
 0.1500000, 0.1750000,    168703, 0.8439370
 0.2000000, 0.2250000,    159686, 0.7988294
 0.2500000, 0.2750000,    152009, 0.7604252
 0.3000000, 0.3250000,    144624, 0.7234817
 0.3500000, 0.3750000,    137286, 0.6867734
 0.4000000, 0.4250000,    130695, 0.6538019
 0.4500000, 0.4750000,    123669, 0.6186543
 0.5000000, 0.5250000,    118690, 0.5937469
 0.5500000, 0.5750000,    112487, 0.5627164
 0.6000000, 0.6250000,    106948, 0.5350075
 0.6500000, 0.6750000,    102005, 0.5102801
 0.7000000, 0.7250000,     96913, 0.4848074
 0.7500000, 0.7750000,     92391, 0.4621861
 0.8000000, 0.8250000,     87579, 0.4381141
 0.8500000, 0.8750000,     82499, 0.4127014
 0.9000000, 0.9250000,     79195, 0.3961731
 0.9500000, 0.9750000,     75538, 0.3778789
 1.0000000, 1.0250000,     71477, 0.3575638
 1.0500000, 1.0750000,     67886, 0.3395998
 1.1000000, 1.1250000,     64549, 0.3229065
 1.1500000, 1.1750000,     61383, 0.3070685
 1.2000000, 1.2250000,     58863, 0.2944622
 1.2500000, 1.2750000,     55839, 0.2793347
 1.3000000, 1.3250000,     53164, 0.2659530
 1.3500000, 1.3750000,     50903, 0.2546423
 1.4000000, 1.4250000,     47812, 0.2391796
 1.4500000, 1.4750000,     45859, 0.2294097
 1.5000000, 1.5250000,     43682, 0.2185193
 1.5500000, 1.5750000,     41526, 0.2077339
 1.6000000, 1.6250000,     39538, 0.1977889
 1.6500000, 1.6750000,     37305, 0.1866183
 1.7000000, 1.7250000,     35601, 0.1780940
 1.7500000, 1.7750000,     33821, 0.1691896
 1.8000000, 1.8250000,     32328, 0.1617209
 1.8500000, 1.8750000,     30937, 0.1547624
 1.9000000, 1.9250000,     29247, 0.1463082
 1.9500000, 1.9750000,     27651, 0.1383242
 2.0000000, 2.0250000,     26294, 0.1315358
 2.0500000, 2.0750000,     24997, 0.1250475
 2.1000000, 2.1250000,     23816, 0.1191396
 2.1500000, 2.1750000,     22706, 0.1135868
 2.2000000, 2.2250000,     21570, 0.1079040
 2.2500000, 2.2750000,     20686, 0.1034817
 2.3000000, 2.3250000,     19717, 0.0986343
 2.3500000, 2.3750000,     18677, 0.0934317
 2.4000000, 2.4250000,     17308, 0.0865833
 2.4500000, 2.4750000,     16745, 0.0837669
 2.5000000, 2.5250000,     16087, 0.0804752
 2.5500000, 2.5750000,     15107, 0.0755728
 2.6000000, 2.6250000,     14631, 0.0731916
 2.6500000, 2.6750000,     13737, 0.0687194
 2.7000000, 2.7250000,     12986, 0.0649625
 2.7500000, 2.7750000,     12483, 0.0624462
 2.8000000, 2.8250000,     11956, 0.0598099
 2.8500000, 2.8750000,     11286, 0.0564582
 2.9000000, 2.9250000,     10619, 0.0531216
 2.9500000, 2.9750000,     10322, 0.0516358
 3.0000000, 3.0250000,      9639, 0.0482191
 3.0500000, 3.0750000,      9286, 0.0464532
 3.1000000, 3.1250000,      8707, 0.0435568
 3.1500000, 3.1750000,      8419, 0.0421161
 3.2000000, 3.2250000,      7989, 0.0399650
 3.2500000, 3.2750000,      7559, 0.0378139
 3.3000000, 3.3250000,      7170, 0.0358679
 3.3500000, 3.3750000,      6836, 0.0341971
 3.4000000, 3.4250000,      6582, 0.0329265
 3.4500000, 3.4750000,      6102, 0.0305253
 3.5000000, 3.5250000,      5964, 0.0298349
 3.5500000, 3.5750000,      5584, 0.0279340
 3.6000000, 3.6250000,      5455, 0.0272886
 3.6500000, 3.6750000,      4984, 0.0249325
 3.7000000, 3.7250000,      4919, 0.0246073
 3.7500000, 3.7750000,      4673, 0.0233767
 3.8000000, 3.8250000,      4410, 0.0220610
 3.8500000, 3.8750000,      4311, 0.0215658
 3.9000000, 3.9250000,      3972, 0.0198699
 3.9500000, 3.9750000,      3714, 0.0185793
 4.0000000, 4.0250000,      3643, 0.0182241
 4.0500000, 4.0750000,      3301, 0.0165133
 4.1000000, 4.1250000,      3292, 0.0164682
 4.1500000, 4.1750000,      3049, 0.0152526
 4.2000000, 4.2250000,      2969, 0.0148524
 4.2500000, 4.2750000,      2787, 0.0139420
 4.3000000, 4.3250000,      2612, 0.0130665
 4.3500000, 4.3750000,      2527, 0.0126413
 4.4000000, 4.4250000,      2344, 0.0117259
 4.4500000, 4.4750000,      2228, 0.0111456
 4.5000000, 4.5250000,      2221, 0.0111106
 4.5500000, 4.5750000,      2051, 0.0102601
 4.6000000, 4.6250000,      1934, 0.0096748
 4.6500000, 4.6750000,      1969, 0.0098499
 4.7000000, 4.7250000,      1731, 0.0086593
 4.7500000, 4.7750000,      1677, 0.0083892
 4.8000000, 4.8250000,      1551, 0.0077589
 4.8500000, 4.8750000,      1558, 0.0077939
 4.9000000, 4.9250000,      1439, 0.0071986
 4.9500000, 4.9750000,      1394, 0.0069735
